timestamp,Zone_A_gas_ppm,Zone_A_temperature_c,Zone_A_pressure_bar,Zone_A_worker_count,Zone_A_maintenance_active,Zone_A_permit_active,Zone_B_gas_ppm,Zone_B_temperature_c,Zone_B_pressure_bar,Zone_B_worker_count,Zone_B_maintenance_active,Zone_B_permit_active,Zone_C_gas_ppm,Zone_C_temperature_c,Zone_C_pressure_bar,Zone_C_worker_count,Zone_C_maintenance_active,Zone_C_permit_active,Reactor_Area_gas_ppm,Reactor_Area_temperature_c,Reactor_Area_pressure_bar,Reactor_Area_worker_count,Reactor_Area_maintenance_active,Reactor_Area_permit_active,Storage_Area_gas_ppm,Storage_Area_temperature_c,Storage_Area_pressure_bar,Storage_Area_worker_count,Storage_Area_maintenance_active,Storage_Area_permit_active,shift_change
2026-05-24 17:14:46.221372,4.5,78.5,4.04,3.04,0,0,0.9,45.83,3.14,5.36,0,0,5.21,73.41,3.87,1.42,0,1,0.85,57.85,4.71,3.23,0,0,1.78,85.94,2.34,6.39,0,0,0
2026-05-24 17:19:46.221372,1.12,120.0,6.65,3.28,0,0,3.82,37.39,5.55,2.66,1,0,1.27,73.46,1.0,0.0,1,1,5.22,117.78,2.89,6.68,0,0,1.19,67.49,8.0,3.33,0,0,0
2026-05-24 17:24:46.221372,0.0,97.73,2.38,7.58,0,0,1.95,106.78,3.36,1.29,0,0,4.39,89.06,3.32,4.08,0,0,1.92,110.18,5.66,0.79,0,0,0.97,87.55,4.75,3.68,0,0,0
2026-05-24 17:29:46.221372,0.0,81.02,3.43,5.23,0,0,3.22,71.1,4.22,0.85,0,0,2.77,56.47,7.92,1.07,0,0,0.0,109.38,7.38,7.71,0,0,1.09,91.41,3.53,0.58,0,0,0
2026-05-24 17:34:46.221372,1.74,89.11,3.11,0.0,0,0,4.75,46.67,2.25,4.61,0,0,1.86,74.9,6.47,0.81,0,0,0.03,78.35,1.0,1.7,1,0,1.32,81.23,6.32,1.19,0,0,0
2026-05-24 17:39:46.221372,0.27,120.0,4.88,2.57,0,1,5.83,52.09,4.16,2.78,0,0,1.17,24.86,1.0,3.55,0,1,1.94,64.59,3.39,2.31,0,0,1.69,107.8,7.42,5.91,0,0,0
2026-05-24 17:44:46.221372,4.31,104.5,5.62,0.0,1,0,0.11,81.22,2.33,1.78,0,0,2.74,95.4,1.0,0.32,0,0,4.35,48.56,5.84,1.16,0,0,3.06,66.62,5.25,3.22,0,0,0
2026-05-24 17:49:46.221372,1.95,70.06,2.86,3.04,0,0,0.63,81.02,7.04,1.13,0,0,1.65,39.3,1.82,2.17,0,0,5.25,65.36,6.85,0.0,0,0,3.72,91.92,7.02,5.0,0,0,0
2026-05-24 17:54:46.221372,0.0,47.55,3.26,2.69,0,0,2.56,117.62,8.0,5.25,0,0,1.29,51.41,4.01,2.66,0,1,6.18,78.98,4.64,3.56,1,0,3.96,89.32,4.79,0.84,0,0,0
2026-05-24 17:59:46.221372,2.23,103.12,1.25,4.13,0,0,2.2,24.61,4.09,2.02,0,0,0.0,120.0,3.16,1.75,0,1,1.54,52.95,3.62,0.0,1,0,0.0,47.54,3.37,5.14,1,0,0
2026-05-24 18:04:46.221372,4.17,79.78,8.0,0.0,0,0,0.0,10.0,3.6,1.14,0,0,2.32,104.86,2.39,1.02,0,0,3.46,91.8,2.33,0.82,0,0,0.44,82.04,2.64,4.55,0,0,0
2026-05-24 18:09:46.221372,0.0,31.89,5.89,2.9,0,0,4.98,65.65,5.98,0.44,0,0,0.0,62.72,6.09,4.22,0,0,5.49,108.36,5.74,2.35,0,0,0.0,13.69,5.66,2.28,0,1,0
2026-05-24 18:14:46.221372,2.08,120.0,3.14,3.39,1,1,0.0,10.0,3.69,5.22,0,0,6.62,78.73,7.27,3.6,0,0,1.95,16.27,4.69,0.29,0,0,0.97,66.59,2.91,5.14,0,0,0
2026-05-24 18:19:46.221372,2.82,49.19,7.34,5.06,0,0,1.27,20.88,7.07,5.36,0,1,0.0,91.81,6.29,1.92,0,0,0.81,73.91,2.78,3.73,0,0,0.0,20.47,6.58,5.23,0,0,0
2026-05-24 18:24:46.221372,3.49,40.8,4.08,2.7,0,0,3.33,75.89,4.77,3.96,0,0,5.07,106.3,5.3,3.11,0,0,1.79,120.0,6.93,0.61,0,0,1.61,118.75,1.62,3.03,0,1,0
2026-05-24 18:29:46.221372,0.63,27.09,5.82,5.28,0,1,4.42,82.22,5.03,5.16,0,1,3.09,83.28,3.05,3.74,0,0,3.21,83.74,4.33,5.7,0,0,2.13,90.54,5.49,3.12,1,0,0
2026-05-24 18:34:46.221372,5.35,86.32,2.62,1.38,0,1,0.0,27.41,2.57,2.01,0,0,6.06,57.24,4.35,4.27,0,0,0.0,74.33,3.27,1.78,0,1,2.44,81.12,6.36,2.31,0,1,0
2026-05-24 18:39:46.221372,7.43,93.58,2.96,4.93,0,0,2.59,120.0,6.59,2.45,0,0,3.59,63.09,2.19,3.81,0,0,2.04,48.3,2.78,7.44,0,0,5.81,62.65,1.52,4.03,0,0,0
2026-05-24 18:44:46.221372,6.1,26.93,3.45,3.55,0,0,4.51,77.12,4.91,3.8,0,0,2.23,95.58,2.78,4.8,0,0,1.83,68.36,4.81,3.96,0,0,5.22,78.01,2.08,2.9,0,0,0
2026-05-24 18:49:46.221372,3.15,86.7,5.13,5.7,0,1,0.0,115.53,4.22,2.28,0,1,1.01,54.74,4.13,1.46,0,0,0.0,33.03,2.7,7.62,0,0,0.0,28.19,4.52,7.72,0,0,0
2026-05-24 18:54:46.221372,3.3,66.93,4.93,3.77,1,0,2.45,61.96,4.67,1.93,0,1,4.9,45.03,7.04,0.86,0,0,4.47,66.82,6.51,4.83,1,0,1.66,118.61,1.65,7.43,0,0,0
2026-05-24 18:59:46.221372,0.27,80.73,6.66,4.17,0,0,3.19,72.95,4.11,3.88,0,0,5.97,78.89,5.4,5.28,0,0,2.0,90.49,5.17,1.27,0,0,1.84,119.46,1.15,0.18,0,0,0
2026-05-24 19:04:46.221372,0.53,71.16,2.59,2.25,0,0,4.17,67.19,5.23,2.65,0,0,0.16,91.94,4.37,2.18,0,0,4.27,70.97,6.62,4.57,0,1,3.22,50.36,4.18,3.81,1,0,0
2026-05-24 19:09:46.221372,0.0,81.8,2.74,2.35,0,0,1.61,92.56,3.34,1.84,0,0,2.08,84.8,1.0,2.71,0,1,3.29,38.85,3.03,2.63,0,1,2.48,76.83,7.01,0.54,0,0,0
2026-05-24 19:14:46.221372,0.0,54.81,5.24,2.48,0,0,0.42,89.29,3.86,4.54,0,0,3.6,92.54,3.12,3.04,0,0,4.48,115.76,2.3,3.57,0,0,1.04,107.89,2.91,2.57,0,0,0
2026-05-24 19:19:46.221372,3.88,58.63,1.29,3.79,1,0,3.56,65.31,6.72,1.78,0,1,2.41,46.35,4.89,3.39,0,0,0.0,62.65,3.31,1.49,0,0,4.88,82.09,5.42,2.0,0,0,0
2026-05-24 19:24:46.221372,0.0,57.94,3.49,1.56,0,1,5.4,120.0,6.74,2.02,0,1,4.43,93.92,4.22,4.23,0,0,6.53,93.78,4.85,5.85,0,0,0.0,99.43,6.21,2.93,0,0,0
